14:21:21:849,0,2960.563062,00000020,000000b3,000003cd,00000000,00000000,0000000c,ffffffa6
14:21:21:911,0,2960.572356,00000020,000000d2,000003c5,00000000,0000000b,0000000a,0000005a
14:21:21:974,0,2960.583067,00000020,000000f4,000003bd,00000000,0000000f,0000000c,ffffffa6
14:21:22:043,0,2960.593828,00000020,0000011a,000003b9,00000000,0000000c,00000009,00000000
14:21:22:092,0,2960.604611,00000020,00000140,000003b7,00000000,00000000,00000000,ffffffea
14:21:22:146,0,2960.615652,00000020,0000016a,000003ba,00000000,00000000,0000000c,ffffffbd
14:21:22:195,0,2960.626422,00000020,00000194,000003bc,00000000,00000000,00000009,ffffffa6
14:21:22:225,0,2960.637243,00000020,000001c3,000003c0,00000000,00000000,00000000,00000000
14:21:22:270,0,2960.647882,00000020,000001eb,000003c4,00000000,0000000b,00000000,00000000
14:21:31:857,0,2961.721998,00000021,0000028e,0000046c,00000000,00000009,00000007,00000000
14:21:31:921,0,2961.763480,00000021,0000028f,00000000,00000000,00000006,00000006,ffffffd3
14:21:31:977,0,2961.774224,00000021,00000290,00000000,00000000,00000004,00000005,00000000
14:21:32:075,0,2971.642746,00000022,00000213,00000403,00000000,00000009,00000008,ffffffa6
14:21:32:122,0,2971.662809,00000022,000001e4,00000407,00000000,00000000,00000009,0000003c
14:21:32:170,0,2971.673884,00000022,000001c0,0000040b,00000000,0000000d,00000000,00000048
14:21:32:230,0,2971.684774,00000022,0000019a,00000412,00000000,00000000,0000000a,0000002d
14:21:32:274,0,2971.695355,00000022,0000017a,00000419,00000000,0000000b,00000000,00000000
14:21:32:327,0,2971.706713,00000022,0000015d,0000041e,00000000,0000000d,00000000,00000046
14:22:39:779,0,3038.119836,00000022,000002be,000004d3,00000000,00000006,00000001,00000007
14:22:39:824,0,3038.139946,00000022,00000000,000004d4,00000000,00000000,00000000,00000000
14:22:39:883,0,3038.161669,00000022,00000000,000004d5,00000000,00000000,00000000,00000004
14:22:39:928,0,3038.194285,00000022,00000000,000004d6,00000000,00000000,00000000,00000007
14:22:39:957,0,3038.248571,00000022,00000000,000004d7,00000000,00000005,00000001,00000000
14:22:40:002,0,3038.259443,00000022,000002bd,00000000,00000000,00000006,00000000,00000003
14:22:40:017,0,3038.270286,00000022,000002bc,00000000,00000000,00000000,00000000,00000000
14:22:40:053,0,3038.357201,00000022,00000000,000004d8,00000000,00000005,00000001,00000007
14:22:40:078,0,3038.476641,00000022,00000000,000004d9,00000000,00000000,00000000,00000008
14:22:40:099,0,3038.998186,00000022,00000000,000004da,00000000,00000004,00000000,00000000
14:22:40:136,0,3039.269874,00000022,00000000,000004db,00000000,00000000,00000000,00000003
14:22:40:180,0,3039.411170,00000022,000002bb,000004dd,00000000,00000003,00000001,00000005
14:22:40:215,0,3039.574008,00000022,00000000,000004df,00000000,00000000,00000000,ffffffae
14:22:40:370,0,3039.617463,00000022,00000000,000004e0,00000000,00000000,00000000,ffffffaf
14:22:40:450,0,3039.639183,00000022,00000000,000004e1,00000000,00000001,00000001,ffffffb4
14:22:40:525,0,3039.650059,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffb6
14:22:40:587,0,3039.704433,00000022,00000000,000004e1,00000000,00000004,00000000,00000003
14:22:40:649,0,3039.747911,00000022,00000000,000004e0,00000000,00000005,00000000,00000008
14:22:40:710,0,3039.780402,00000022,00000000,000004e1,00000000,00000000,00000000,ffffffae
14:22:40:740,0,3039.791174,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffaf
14:22:40:761,0,3039.802058,00000022,00000000,000004e3,00000000,00000000,00000000,00000000
14:22:40:823,0,3039.986846,00000022,00000000,000004e2,00000000,00000004,00000000,00000003
14:22:40:863,0,3040.073795,00000022,00000000,000004e1,00000000,00000000,00000000,00000000
14:22:40:931,0,3040.106316,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffb8
14:22:40:979,0,3040.225915,00000022,00000000,000004e1,00000000,00000004,00000000,00000003
14:22:41:019,0,3040.280129,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffaf
14:22:41:534,0,3040.290962,00000022,00000000,000004e3,00000000,00000000,00000000,00000000
14:22:41:586,0,3040.334630,00000022,00000000,000004e2,00000000,00000004,00000000,00000004
14:22:41:620,0,3040.345585,00000022,00000000,000004e1,00000000,00000000,00000000,00000003
14:22:41:635,0,3040.421535,00000022,00000000,000004e0,00000000,00000000,00000000,00000000
14:22:41:674,0,3040.551806,00000022,00000000,000004e1,00000000,00000000,00000000,ffffffc1
14:22:41:707,0,3040.899512,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffae
14:22:41:737,0,3040.910324,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffaf
14:22:41:786,0,3040.965364,00000022,00000000,000004e2,00000000,00000004,00000001,0000000f
14:22:41:836,0,3041.225930,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffaf
14:22:41:877,0,3041.290756,00000022,00000000,000004e2,00000000,00000004,00000000,00000008
14:22:41:904,0,3041.366837,00000022,00000000,000004e1,00000000,00000000,00000000,00000000
14:22:41:967,0,3041.431942,00000022,00000000,000004e2,00000000,00000001,00000001,ffffffad
14:22:42:012,0,3041.453674,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffb6
14:22:42:032,0,3041.464483,00000022,00000000,000004e4,00000000,00000000,00000000,00000000
14:22:42:076,0,3041.518873,00000022,00000000,000004e3,00000000,00000004,00000000,00000008
14:22:42:122,0,3041.540501,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
