timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
16:59:46:914,0,2026.518296,00000258,238,822,0,414.6902302738527,12,-14
17:00:07:097,0,2042.473388,00000260,523,526,0,153.93804002589985,7,-12
17:00:07:202,0,2044.046090,00000261,371,542,0,367.5663404700058,13,-10
17:01:19:353,1,2286.228624,00000270,400,364,0,571.7698629533423,14,-12
17:01:45:357,1,2308.094621,0000027b,164,1090,0,351.85837720205683,14,0
17:02:22:685,1,2349.415270,0000028b,85,574,0,1130.9733552923256,24,0
17:02:23:287,1,2350.019447,0000028d,366,818,0,0.0,0,3
17:02:24:678,1,2351.077265,00000291,386,745,0,703.7167544041137,16,2
17:06:31:571,1,2527.452579,000003de,292,908,0,311.0176727053895,11,0
17:06:50:827,1,2551.613269,000003ef,188,1115,0,339.29200658769764,12,0
