timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
11:48:53:133,1,298.808047,00000019,136,780,0,125.663706144,8,0000000b
11:48:56:984,1,300.409870,00000000,152,797,0,650.309679293,23,00000000
11:49:14:350,1,320.365593,00000020,140,782,0,109.955742876,5,0000002d
11:49:32:954,1,337.478137,00000024,39,1186,0,197.920337176,9,ffffffe2
11:50:18:625,1,383.978339,00000031,559,131,0,282.743338823,10,00000016
11:50:39:259,1,404.113578,00000036,23,1214,0,0.0,9,00000000
11:51:16:929,1,441.972189,00000044,36,1200,0,0.0,0,ffffffdd
11:51:16:998,1,442.958944,00000045,112,793,0,0.0,0,0000005a
11:51:20:025,1,444.414182,00000000,107,707,0,0.0,0,00000000
11:51:45:054,1,469.445992,00000051,666,64,0,0.0,12,00000000
11:51:47:565,1,471.257587,00000000,184,944,0,0.0,15,ffffffa6
11:52:08:064,1,494.322255,0000005e,580,131,0,449.247749463,13,0000001e
11:52:30:956,1,516.303931,00000066,45,1220,0,197.920337176,9,ffffffb5
11:52:31:032,1,517.096173,00000067,110,784,0,94.2477796077,5,ffffffd3
11:52:58:894,1,544.988434,00000074,650,40,0,150.796447372,8,00000012
11:53:00:413,1,546.758872,00000076,576,137,0,0.0,13,00000000
11:53:06:798,1,553.023074,0000007c,573,160,0,339.292006588,12,00000014
11:53:39:667,1,585.274458,00000089,561,125,0,0.0,0,0000001e
