tracking_id,time_period,X_start,x_stop,y_start,y_stop,mid_stroke_pressure,mid_stroke_area_covered,mid_finger_width,X_length_of_trajectory,Y_length_of_trajectory,Distance_EndToEnd,Direction,X_speed,Y_speed,mid_trajectory_speed,absolute_velocity,velocity_angle,finger_orient_change
000000a8,0.111,277,278,175,179,0.0,282.74333882308133,7.5,277.5,177.0,4.123105625617661,4.0,2500.0,1594.5945945945946,37.14509572628523,2965.2541073422863,0.5677778015502353,0
000000a9,0.043,408,406,443,0,0.0,392.69908169872417,11.0,407.0,221.5,443.00451464968165,221.5,9465.116279069769,5151.162790697675,10302.430573248412,10776.033791362192,0.49839942606269577,13
000000ab,0.054,143,144,392,0,0.0,0.0,11.5,143.5,196.0,392.0012755081289,-392.0,2657.4074074074074,3629.6296296296296,7259.282879780165,4498.44699615646,0.9388220849762935,-1
000000ac,0.103,36,37,381,382,0.0,50.26548245743669,6.5,36.5,381.5,1.4142135623730951,1.0,354.368932038835,3703.883495145631,13.730228760903836,3720.79699602203,1.475411693272805,3
000000ac,0.168,36,39,381,384,0.0,50.26548245743669,2.0,37.5,382.5,4.242640687119285,1.0,223.2142857142857,2276.785714285714,25.253813613805264,2287.7014241640995,1.473069419436178,-12
000000ac,0.219,36,42,381,386,0.0,50.26548245743669,2.0,39.0,383.5,7.810249675906654,0.8333333333333334,178.08219178082192,1751.1415525114155,35.663240529254125,1760.173288049092,1.4694498235292288,-2
000000ac,0.257,36,43,381,388,0.0,50.26548245743669,2.0,39.5,384.5,9.899494936611665,1.0,153.69649805447472,1496.1089494163423,38.519435551018155,1503.9829128144643,1.4684246303013087,-14
000000ac,0.315,36,46,381,393,0.0,50.26548245743669,9.0,41.0,387.0,15.620499351813308,1.2,130.15873015873015,1228.5714285714287,49.58888683115336,1235.4469030025427,1.4652468932097533,-2
000000ac,0.357,36,49,381,398,0.0,50.26548245743669,8.5,42.5,389.5,21.400934559032695,1.3076923076923077,119.04761904761905,1091.0364145658264,59.94659540345293,1097.5120926484412,1.4621120455639312,-2
000000ac,0.413,36,52,381,404,0.0,50.26548245743669,7.5,44.0,392.5,28.0178514522438,1.4375,106.53753026634384,950.3631961259081,67.8398340248034,956.3160826347654,1.4591604955601287,-1
000000ac,0.481,36,55,381,409,0.0,309.4468763785946,9.5,45.5,395.0,33.83784863137726,1.4736842105263157,94.5945945945946,821.2058212058213,70.34895765359099,826.6360372672141,1.4561119089507046,3
000000ac,0.552,36,59,381,417,0.0,295.3097094374406,8.0,47.5,399.0,42.720018726587654,1.565217391304348,86.05072463768116,722.8260869565216,77.39133827280371,727.930133457564,1.452306367636759,-15
000000ac,0.604,36,63,381,426,0.0,50.26548245743669,9.0,49.5,403.5,52.478567053607705,1.6666666666666667,81.95364238410596,668.0463576158941,86.88504479074123,673.0544817649496,1.448729657773356,-15
000000ac,0.644,36,68,381,438,0.0,50.26548245743669,2.0,52.0,409.5,65.36818798161687,1.78125,80.74534161490683,635.8695652173913,101.50339748698272,640.9757516180017,1.4444882097316563,-16
000000ac,0.697,36,72,381,452,0.0,356.5707661824415,9.5,54.0,416.5,79.60527620704548,1.9722222222222223,77.47489239598279,597.5609756097562,114.21130015358032,602.5624270757784,1.4418636914526815,-14
000000ac,0.757,36,75,381,463,0.0,50.26548245743669,2.0,55.5,422.0,90.80198235721508,2.1025641025641026,73.31571994715983,557.4636723910172,119.94977854321675,562.2641201668924,1.4400302296449667,-15
000000ac,0.856,36,76,381,475,0.0,490.0884539600077,12.0,56.0,428.0,102.15674231297707,2.35,65.42056074766356,500.0,119.34198868338443,504.26168778575544,1.4406942690849316,-17
000000ac,0.913,36,78,381,489,0.0,50.26548245743669,9.0,57.0,435.0,115.8792474949678,2.5714285714285716,62.4315443592552,476.4512595837897,126.92141018068762,480.52419344925954,1.4405041670658034,-16
000000ac,0.97,36,0,381,505,0.0,356.5707661824415,9.5,18.0,443.0,129.1200991325518,-3.4444444444444446,18.556701030927837,456.70103092783506,133.11350426036267,457.0778738942617,1.5301866111787847,-15
000000ac,1.017,36,0,381,519,0.0,336.1504139341079,8.5,18.0,450.0,142.61837188805654,-3.8333333333333335,17.69911504424779,442.47787610619474,140.23438730389043,442.8317169273205,1.5308176396716067,-16
000000ac,1.079,36,77,381,536,0.0,50.26548245743669,9.5,56.5,458.5,160.3309078125612,3.7804878048780486,52.36329935125116,424.93049119555144,148.59212957605303,428.1446454957032,1.448186531174418,-16
000000ac,1.145,36,76,381,557,0.0,50.26548245743669,2.0,56.0,469.0,180.48822676285565,4.4,48.90829694323144,409.6069868995633,157.63163909419706,412.51655145803096,1.4519559822271315,-16
000000ac,1.24,36,73,381,578,0.0,50.26548245743669,9.0,54.5,479.5,200.44450603596,5.324324324324325,43.95161290322581,386.69354838709677,161.64879519029031,389.1833046791691,1.4576219484659216,-16
000000ac,1.291,36,70,381,600,0.0,315.7300616857742,8.5,53.0,490.5,221.6235547048192,6.4411764705882355,41.05344694035632,379.93803253292026,171.66812912844247,382.14957028717305,1.463160920709714,-15
000000ac,1.351,36,67,381,625,0.0,285.88493147667117,9.5,51.5,503.0,245.96137908216403,7.870967741935484,38.119911176905994,372.31680236861587,182.0587557973087,374.263181403309,1.468766171264631,-2
000000ac,1.399,36,65,381,646,0.0,336.15041393410786,9.0,50.5,513.5,266.58206991468876,9.137931034482758,36.09721229449607,367.04789135096496,190.55187270528145,368.8186048461001,1.4727668590278769,-14
000000ac,1.454,36,63,381,670,0.0,50.26548245743669,2.0,49.5,525.5,290.25850547399983,10.703703703703704,34.04401650618982,361.41678129298487,199.62758285694625,363.01664543110826,1.4768774459863694,-15
000000ac,1.522,36,59,381,696,0.0,182.212373908208,8.0,47.5,538.5,315.83856635946154,13.695652173913043,31.208935611038108,353.8107752956636,207.5154838104215,355.1845469291879,1.482816051335057,-16
000000ac,1.576,36,56,381,725,0.0,262.3229865747477,9.5,46.0,553.0,344.58090486850836,17.2,29.187817258883246,350.88832487309645,218.64270613484032,352.10019200305135,1.4878047506970173,-2
000000ac,1.614,36,53,381,749,0.0,50.26548245743669,8.5,44.5,565.0,368.3924537772184,21.647058823529413,27.571251548946716,350.0619578686493,228.2481126252902,351.1460497553793,1.4921975209868248,-2
000000ac,1.658,36,50,381,771,0.0,50.26548245743669,9.0,43.0,576.0,390.25120115125844,27.857142857142858,25.934861278648977,347.4065138721351,235.37466896939594,348.37322358403605,1.496281768034109,-17
000000ac,1.708,36,46,381,792,0.0,50.26548245743669,7.5,41.0,586.5,411.1216365018995,41.1,24.004683840749415,343.384074941452,240.70353425169762,344.2220907636392,1.5010036451457307,-1
000000ac,1.812,36,43,381,813,0.0,105.24335389525807,5.5,39.5,597.0,432.0567092408125,61.714285714285715,21.799116997792495,329.4701986754967,238.44189251700467,330.1905712117696,1.5047284687197278,-15
