tracking_id,time_period,X_start,x_stop,y_start,y_stop,mid_stroke_pressure,mid_stroke_area_covered,mid_finger_width,X_length_of_trajectory,Y_length_of_trajectory,Distance_EndToEnd,Direction,X_speed,Y_speed,mid_trajectory_speed,absolute_velocity,velocity_angle,finger_orient_change
0000001c,0:00:00.196000,85,112,763,721,0,370.707933124,12,98,742,49.9299509313,-2,0,0,0.000254744647609,0.0,0.0,14
0000001c,0:00:00.324000,85,137,763,697,0,276.460153516,11,111,730,84.0238061504,-2,0,0,0.000259332735032,0.0,0.0,4
0000001c,0:00:00.431000,85,166,763,676,0,333.008821281,12,125,719,118.869676537,-2,0,0,0.000275799713543,0.0,0.0,14
0000001c,0:00:00.501000,85,199,763,661,0,306.305283725,13,142,712,152.970585408,-1,0,0,0.000305330509796,0.0,0.0,14
0000001c,0:00:00.567000,85,233,763,651,0,290.597320457,11,159,707,185.60172413,-1,0,0,0.000327339901464,0.0,0.0,19
0000001c,0:00:00.610000,85,265,763,650,0,326.725635973,13,175,706,212.529997883,-1,0,0,0.000348409832595,0.0,0.0,14
0000001c,0:00:00.678000,85,292,763,658,0,370.707933124,12,188,710,232.107733607,-1,0,0,0.00034234178998,0.0,0.0,1
0000001c,0:00:00.740000,85,315,763,675,0,304.734487398,11,200,719,246.260025177,-1,0,0,0.000332783817806,0.0,0.0,4
0000001c,0:00:00.788000,85,333,763,696,0,163.362817987,6,209,729,256.891027481,-1,0,0,0.00032600384198,0.0,0.0,0
0000001c,0:00:00.851000,85,350,763,718,0,163.362817987,11,217,740,268.793601114,-1,0,0,0.000315856170522,0.0,0.0,4
0000001c,0:00:00.912000,85,362,763,734,0,218.340689424,9,223,748,278.513913477,-1,0,0,0.000305388063022,0.0,0.0,16
0000001c,0:00:00.960000,85,377,763,752,0,304.734487398,11,231,757,292.207118325,-1,0,0,0.000304382414922,0.0,0.0,14
0000001c,0:00:01.010000,85,394,763,768,0,276.460153516,11,239,765,309.040450427,0,0,0,0.0309040450427,0.0,0.0,19
0000001c,0:00:01.048000,85,410,763,779,0,163.362817987,6,247,771,325.393607804,0,0,0,0.00677903349593,0.0,0.0,14
0000001c,0:00:01.093000,85,432,763,786,0,251.327412287,10,258,774,347.761412466,0,0,0,0.00373937002651,0.0,0.0,14
0000001c,0:00:13.166000,85,455,763,791,0,163.362817987,9,270,777,371.057946957,0,0,0,0.00223528883709,0.0,0.0,16
0000001c,0:00:13.545000,85,481,763,794,0,163.362817987,11,283,778,397.211530548,0,0,0,0.000728828496418,0.0,0.0,4
0000001c,0:00:13.616000,85,513,763,797,0,163.362817987,11,299,780,429.348343423,0,0,0,0.000696994063998,0.0,0.0,17
0000001c,0:00:13.662000,85,541,763,798,0,248.185819634,11,313,780,457.341229281,0,0,0,0.00069084777837,0.0,0.0,18
0000001c,0:00:13.709000,85,571,763,799,0,163.362817987,12,328,781,487.331509345,0,0,0,0.000687350506833,0.0,0.0,19
0000001c,0:00:13.768000,85,598,763,801,0,234.048652692,11,341,782,514.405482086,0,0,0,0.000669798804799,0.0,0.0,19
0000001c,0:00:13.850000,85,628,763,802,0,229.336263712,9,356,782,544.398750917,0,0,0,0.000640469118726,0.0,0.0,3
0000001c,0:00:13.919000,85,654,763,804,0,163.362817987,10,369,783,570.475240479,0,0,0,0.000620756518476,0.0,0.0,19
0000001d,0:00:00.036000,622,623,177,0,0,0.0,5,622,88,177.002824836,-177,0,0,0.00491674513434,0.0,0.0,14
0000001d,0:00:40.052000,622,626,177,178,0,204.203522483,11,624,177,4.12310562562,0,0,0,7.92904928003e-05,0.0,0.0,16
0000001e,0:00:00.065000,274,323,335,462,0,813.67249728,20,298,398,136.124942608,2,0,0,0.00209422988628,0.0,0.0,0
0000001e,0:00:00.112000,274,349,335,560,0,282.743338823,7,311,447,237.170824513,3,0,0,0.00211759664743,0.0,0.0,0
0000001e,0:00:00.205000,274,373,335,665,0,832.522053201,20,323,500,344.530114794,3,0,0,0.00168063470631,0.0,0.0,-15
0000001e,0:00:00.253000,274,389,335,760,0,282.743338823,20,331,547,440.283999255,3,0,0,0.00174025296148,0.0,0.0,0
0000001e,0:00:00.295000,274,399,335,850,0,636.172512352,20,336,592,529.952828089,4,0,0,0.00179645026471,0.0,0.0,0
0000001e,0:00:00.341000,274,409,335,938,0,282.743338823,15,341,636,617.927180176,4,0,0,0.00181210316767,0.0,0.0,0
0000001f,0:00:00.079000,306,0,770,769,0,0.0,6,153,769,306.001633983,0,0,0,0.00387343840484,0.0,0.0,1
