tracking_id,time_period,X_start,x_stop,y_start,y_stop,mid_stroke_pressure,mid_stroke_area_covered,mid_finger_width,X_length_of_trajectory,Y_length_of_trajectory,Distance_EndToEnd,Direction,X_speed,Y_speed,mid_trajectory_speed,absolute_velocity,velocity_angle,finger_orient_change
00000151,0.201,103,121,771,736,0.0,224.62387473167024,11.5,112.0,753.5,39.35733730830886,-1.9444444444444444,557.2139303482587,3748.7562189054725,195.80764830004406,3789.9420250126004,1.4232370287959863,-13
00000151,0.291,103,138,771,718,0.0,172.7875959474386,10.5,120.5,744.5,63.51377803280167,-1.5142857142857142,414.08934707903785,2558.4192439862545,218.2604056110023,2591.713528799729,1.4103342635685152,-14
00000151,0.335,103,160,771,702,0.0,0.0,5.0,131.5,736.5,89.49860334105779,-1.2105263157894737,392.5373134328358,2198.507462686567,267.1600099733068,2233.2757568033544,1.3941109675175436,-10
00000151,0.389,103,186,771,691,0.0,113.09733552923255,9.5,144.5,731.0,115.27792503337315,-0.963855421686747,371.46529562982005,1879.1773778920308,296.34428029144766,1915.5401544834601,1.3756378996782266,-11
00000151,0.461,103,214,771,682,0.0,224.62387473167024,11.5,158.5,726.5,142.27438279606065,-0.8018018018018018,343.8177874186551,1575.9219088937093,308.6212208157498,1612.9911760070643,1.355992871113074,-14
00000151,0.516,103,234,771,680,0.0,0.0,5.0,168.5,725.5,159.5054857990784,-0.6946564885496184,326.5503875968992,1406.0077519379845,309.1191585253457,1443.430966187642,1.3425886037548984,-15
00000151,0.556,103,257,771,685,0.0,0.0,11.0,180.0,728.0,176.38594048279472,-0.5584415584415584,323.74100719424456,1309.3525179856115,317.24090014891135,1348.7817674087996,1.3284049800162785,-10
00000151,5.293,103,282,771,697,0.0,0.0,5.0,192.5,734.0,193.6930561481232,-0.4134078212290503,36.368788966559606,138.67372000755714,36.594191601761416,143.363487093571,1.314311059492645,-14
00000151,5.724,103,302,771,710,0.0,0.0,5.0,202.5,740.5,208.13937638034758,-0.3065326633165829,35.37735849056604,129.3675751222921,36.36257448992795,134.1175864187539,1.3038587984870837,-14
00000151,5.807,103,326,771,725,0.0,183.7831702350029,11.5,214.5,748.0,227.69497139814047,-0.2062780269058296,36.93817806096091,128.81005682796624,39.21043075566393,134.00171543113598,1.2915257943084246,-10
00000151,5.853,103,350,771,741,0.0,0.0,11.0,226.5,756.0,248.81519246219673,-0.1214574898785425,38.69810353664788,129.1645310097386,42.51071116729827,134.83701008365188,1.2797036320642752,1
00000151,5.927,103,375,771,755,0.0,113.09733552923255,9.5,239.0,763.0,272.47018185482244,-0.058823529411764705,40.32394128564198,128.732917158765,45.971010942268,134.9006456656652,1.267239967063714,1
00000151,5.994,103,399,771,768,0.0,0.0,5.0,251.0,769.5,296.0152023123137,-0.010135135135135136,41.87520854187521,128.3783783783784,49.38525230435664,135.0353328780569,1.2554922546936753,-10
00000151,6.052,103,429,771,778,0.0,0.0,5.0,266.0,774.5,326.0751447136074,0.02147239263803681,43.95241242564442,127.97422339722407,53.87890692557955,135.3115531362956,1.2399709104955592,0
00000151,6.114,103,452,771,784,0.0,226.1946710584651,13.0,277.5,777.5,349.24203641600764,0.03724928366762178,45.387634936211974,127.16715734380111,57.12169388550992,135.0241582532767,1.2279760938474398,-10
00000152,0.108,436,437,178,0,0.0,188.49555921538757,12.5,436.5,89.0,178.0028089666003,-178.0,4041.6666666666665,824.0740740740741,1648.174157098151,4124.823332459887,0.20113756307504618,1
00000153,0.068,365,358,783,782,0.0,188.49555921538757,14.5,361.5,782.5,7.0710678118654755,0.14285714285714285,5316.176470588235,11507.35294117647,103.98629135096287,12675.99715916814,1.1380239278154882,0
00000153,0.108,365,346,783,0,0.0,0.0,7.0,355.5,391.5,783.2304897027439,41.21052631578947,3291.6666666666665,3625.0,7252.134163914295,4896.498181807529,0.8335536764573638,0
00000153,0.156,365,332,783,785,0.0,47.12388980384689,10.0,348.5,784.0,33.06055050963308,-0.06060606060606061,2233.974358974359,5025.641025641025,211.9266058309813,5499.791737435253,1.1525128256181034,1
00000153,0.236,365,318,783,790,0.0,113.09733552923255,11.5,341.5,786.5,47.51841748206689,-0.14893617021276595,1447.033898305085,3332.627118644068,201.3492266189275,3633.2231716157867,1.1611572561116015,4
00000153,0.302,365,305,783,801,0.0,219.9114857512855,14.0,335.0,792.0,62.6418390534633,-0.3,1109.271523178808,2622.5165562913908,207.42330812405066,2847.4684195189748,1.1706380522626927,-1
00000154,0.037,388,387,385,0,0.0,0.0,0.0,387.5,192.5,385.0012986991083,385.0,10472.972972972973,5202.702702702703,10405.440505381306,11694.070219787993,0.46106363542365064,-1
00000155,0.081,529,509,577,552,0.0,183.7831702350029,12.0,519.0,564.5,32.01562118716424,1.25,6407.407407407407,6969.135802469135,395.2545825575832,9466.980697020377,0.82736704433286,2
00000155,0.128,529,481,577,518,0.0,0.0,5.5,505.0,547.5,76.05918747922567,1.2291666666666667,3945.3125,4277.34375,594.2124021814506,5819.034308054929,0.8257562851449121,-1
00000155,0.185,529,447,577,480,0.0,172.7875959474386,11.0,488.0,528.5,127.01574705523721,1.1829268292682926,2637.837837837838,2856.7567567567567,686.5716057039849,3888.3476729845524,0.8252196981234936,-2
00000155,0.233,529,400,577,431,0.0,0.0,11.5,464.5,504.0,194.82556300444764,1.1317829457364341,1993.5622317596565,2163.0901287553647,836.1612146113632,2941.6405757701673,0.8261602909014383,-2
00000155,0.282,529,342,577,375,0.0,155.50883635269474,11.0,435.5,476.0,275.26895938336384,1.0802139037433156,1544.3262411347519,1687.9432624113476,976.1310616431342,2287.814676973914,0.8298012127502273,2
00000155,0.348,529,269,577,310,0.0,37.69911184307752,8.5,399.0,443.5,372.6781453211336,1.0269230769230768,1146.5517241379312,1274.4252873563219,1070.9142106929128,1714.2755522893356,0.8381681176052671,0
00000155,3.566,529,191,577,250,0.0,245.04422698000388,12.0,360.0,413.5,470.2903358564792,0.9674556213017751,100.95344924284913,115.9562535053281,131.88175430635985,153.7447613449656,0.8544543110581977,-15
00000156,0.066,460,453,784,773,0.0,223.0530784048753,9.5,456.5,778.5,13.038404810405298,1.5714285714285714,6916.666666666666,11795.454545454544,197.55158803644392,13673.808017946647,1.0404487018253399,-2
00000156,0.114,460,443,784,760,0.0,113.09733552923255,8.5,451.5,772.0,29.410882339705484,1.411764705882353,3960.5263157894738,6771.929824561404,257.9901959623288,7845.049537564769,1.0415950729377528,-4
00000156,0.176,460,429,784,745,0.0,197.92033717615698,7.5,444.5,764.5,49.8196748283246,1.2580645161290323,2525.568181818182,4343.75,283.06633425184435,5024.605328133982,1.044146320854716,-2
00000156,0.235,460,410,784,726,0.0,113.09733552923255,10.0,435.0,755.0,76.57675887630658,1.16,1851.0638297872342,3212.765957446809,325.8585484098153,3707.8703320471836,1.0480915087101574,-3
00000156,0.293,460,384,784,703,0.0,226.1946710584651,9.0,422.0,743.5,111.07204868912791,1.0657894736842106,1440.2730375426622,2537.542662116041,379.08549040657994,2917.7918336871344,1.0545519091559443,-4
00000156,0.372,460,355,784,681,0.0,285.88493147667117,10.0,407.5,732.5,147.08500943332058,0.9809523809523809,1095.4301075268818,1969.0860215053763,395.3898103046252,2253.2791395129516,1.0631184481916045,-4
00000156,0.44,460,323,784,655,0.0,240.33183799961915,9.0,391.5,719.5,188.1754500459611,0.9416058394160584,889.7727272727273,1635.2272727272727,427.6714773771843,1861.6293239174713,1.072472647579505,1
00000156,8.053,460,291,784,631,0.0,113.09733552923255,9.5,375.5,707.5,227.96929617823537,0.9053254437869822,46.62858562026573,87.85545759344343,28.308617431793785,99.462588071595,1.0828586063584429,-18
00000156,8.127,460,259,784,607,0.0,188.49555921538757,8.5,359.5,695.5,267.8245694479877,0.8805970149253731,44.23526516549772,85.57893441614371,32.954911953732946,96.33541768251447,1.093724788401548,-18
00000156,8.189,460,228,784,592,0.0,226.1946710584651,9.0,344.0,688.0,301.14448359549937,0.8275862068965517,42.00757113200635,84.0151422640127,36.77426835944552,93.93178462082399,1.1071487177940904,-14
00000156,8.257,460,199,784,575,0.0,113.09733552923255,4.5,329.5,679.5,334.36806067565726,0.8007662835249042,39.905534697832145,82.29381131161439,40.4951024192391,91.4588600394269,1.119289074819222,-3
00000156,8.308,460,171,784,559,0.0,238.76104167282426,9.5,315.5,671.5,366.2594708673074,0.7785467128027682,37.975445353875784,80.82571015888301,44.08515537642121,89.30246285804759,1.1315635218726634,-15
00000156,8.374,460,146,784,550,0.0,303.16369107141503,10.0,303.0,667.0,391.60183860651114,0.7452229299363057,36.18342488655362,79.65130164795796,46.76401225298676,87.48468489247051,1.144394771305387,-17
00000157,0.061,232,231,994,996,0.0,188.49555921538757,12.5,231.5,995.0,2.23606797749979,-2.0,3795.0819672131147,16311.475409836066,36.65685209016049,16747.145344313245,1.3421999092328554,0
00000157,0.108,232,228,994,1002,0.0,0.0,6.5,230.0,998.0,8.94427190999916,-2.0,2129.6296296296296,9240.74074074074,82.81733249999222,9482.96429377345,1.344290218779487,-14
00000157,0.156,232,223,994,1013,0.0,164.93361431346412,14.0,227.5,1003.5,21.02379604162864,-2.111111111111111,1458.3333333333333,6432.692307692308,134.76792334377333,6595.9280193582235,1.3478581821703177,-15
00000157,0.207,232,218,994,1029,0.0,0.0,6.5,225.0,1011.5,37.69615364994153,-2.5,1086.9565217391305,4886.473429951691,182.10702246348566,5005.906217836594,1.3519180335644065,0
00000157,0.264,232,211,994,1047,0.0,0.0,13.0,221.5,1020.5,57.0087712549569,-2.5238095238095237,839.0151515151515,3865.530303030303,215.9423153596852,3955.5367458939804,1.357061124321335,-15
00000157,0.317,232,201,994,1070,0.0,201.06192982974676,14.5,216.5,1032.0,82.0792300158816,-2.4516129032258065,682.9652996845426,3255.5205047318614,258.92501582297035,3326.3877340596946,1.3640083155387381,-15
