tracking_id,time_period,X_start,x_stop,y_start,y_stop,mid_stroke_pressure,mid_stroke_area_covered,mid_finger_width,X_length_of_trajectory,Y_length_of_trajectory,Distance_EndToEnd,Direction,X_speed,Y_speed,mid_trajectory_speed,absolute_velocity,velocity_angle,finger_orient_change
0000005e,0.087,368,366,1109,0,0.0,334.57961760731297,10.5,367.0,554.5,1109.001803425044,554.5,4218.390804597701,6373.563218390805,12747.147165805105,7643.109908874698,0.9861305200392972,0
0000005e,0.11,368,365,1109,0,0.0,127.23450247038662,4.5,366.5,554.5,1109.004057702225,369.6666666666667,3331.818181818182,5040.909090909091,10081.855070020229,6042.497568018057,0.9867578168166293,3
0000005e,0.147,368,364,1109,0,0.0,300.0220984178252,10.0,366.0,554.5,1109.0072136825802,277.25,2489.795918367347,3772.1088435374154,7544.266759745444,4519.722208566792,0.9873856341994708,3
0000005f,0.019,161,167,900,892,0.0,84.82300164692441,4.5,164.0,896.0,10.0,-1.3333333333333333,8631.578947368422,47157.89473684211,526.3157894736843,47941.33071928369,1.3897645086161003,3
0000005f,0.043,161,177,900,884,0.0,161.79202165987434,8.0,169.0,892.0,22.627416997969522,-1.0,3930.2325581395353,20744.18604651163,526.2189999527797,21113.218198402345,1.3835537989185138,0
0000005f,0.066,161,190,900,871,0.0,84.82300164692441,9.0,175.5,885.5,41.012193308819754,-1.0,2659.090909090909,13416.666666666666,621.3968683154508,13677.635355106318,1.3751387621535738,3
0000005f,0.094,161,206,900,858,0.0,84.82300164692441,6.5,183.5,879.0,61.554853586049575,-0.9333333333333333,1952.127659574468,9351.063829787234,654.8388679366976,9552.653932181924,1.3649920975979268,0
0000005f,0.131,161,227,900,849,0.0,197.92033717615698,9.0,194.0,874.5,83.40863264674707,-0.7727272727272727,1480.9160305343512,6675.572519083969,636.7071194408172,6837.863756104147,1.3524906429985766,3
0000005f,0.158,161,247,900,845,0.0,84.82300164692441,4.5,204.0,872.5,102.08329931972223,-0.6395348837209303,1291.139240506329,5522.151898734177,646.0968311374825,5671.08474024756,1.3411115442208854,1
0000005f,0.184,161,271,900,842,0.0,254.46900494077323,10.5,216.0,871.0,124.35433245367851,-0.5272727272727272,1173.913043478261,4733.695652173913,675.8387633352093,4877.083796805075,1.3277095533027414,3
0000005f,0.217,161,293,900,844,0.0,183.7831702350029,9.0,227.0,872.0,143.38758663147937,-0.42424242424242425,1046.0829493087558,4018.4331797235022,660.7722886243289,4152.360142947291,1.316127522831695,2
0000005f,0.24,161,318,900,847,0.0,188.49555921538757,10.0,239.5,873.5,165.7045563646335,-0.3375796178343949,997.9166666666667,3639.5833333333335,690.4356515193062,3773.911036827563,1.303188608870521,3
0000005f,0.265,161,343,900,854,0.0,183.7831702350029,9.0,252.0,877.0,187.72320048411703,-0.25274725274725274,950.9433962264151,3309.433962264151,708.3894357891209,3443.3481516416587,1.2909913249557532,-2
0000005f,0.299,161,364,900,860,0.0,241.90263432641407,9.5,262.5,880.0,206.90335908341362,-0.19704433497536947,877.9264214046823,2943.14381270903,691.9844785398449,3071.2945647866272,1.280904068198243,0
