timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
14:58:29:354,0,1463.527272,0000007a,395,701,0,0.0,9,0
14:58:29:614,0,1466.127121,0000007c,289,122,0,241.90263432641405,11,-10
14:59:39:244,1,1534.755527,000000a4,146,791,0,94.24777960769379,6,2
15:01:02:505,0,1616.876097,000000c7,153,999,0,157.07963267948966,10,-10
15:01:02:791,0,1616.876097,000000c7,153,999,0,157.07963267948966,10,-10
15:01:03:072,0,1617.874704,000000c9,574,853,0,571.7698629533423,14,3
15:01:03:345,0,1617.874704,000000c9,574,853,0,571.7698629533423,14,3
15:01:07:567,0,1619.209203,00000000,591,816,0,0.0,15,2
15:01:08:543,0,1619.529728,000000d3,535,580,0,653.451271946677,16,3
15:01:08:871,0,1619.529728,000000d3,535,580,0,653.451271946677,16,3
15:01:10:842,0,1620.171986,000000da,176,793,0,0.0,16,-11
15:01:11:914,0,1620.527456,00000000,0,912,0,0.0,13,0
15:01:13:734,0,1621.158815,000000e0,163,789,0,452.3893421169302,16,5
15:01:13:837,0,1621.158815,00000000,163,789,0,452.3893421169302,16,5
15:01:19:904,0,1623.349889,00000000,615,815,0,376.99111843077515,12,0
15:01:20:236,0,1623.349889,00000000,615,815,0,376.99111843077515,12,0
15:01:23:001,0,1624.052764,00000000,580,0,0,0.0,15,4
15:01:23:306,0,1624.052764,00000000,580,0,0,0.0,15,4
15:01:26:785,0,1624.754639,000000fd,120,659,0,0.0,0,4
15:01:27:371,0,1625.557880,000000ff,588,635,0,530.929158456675,13,-14
15:01:30:402,0,1626.213809,00000000,0,0,0,0.0,0,4
15:01:30:513,0,1626.305427,00000107,521,814,0,0.0,15,1
15:01:32:475,0,1626.834517,00000000,146,0,0,534.0707511102648,17,-10
15:01:34:417,0,1627.338765,00000110,583,1007,0,518.3627878423158,15,3
15:01:34:740,0,1627.338765,00000110,583,1007,0,518.3627878423158,15,3
15:01:50:228,1,1633.504266,0000011e,119,273,0,449.2477494633405,13,2
15:01:58:120,1,1652.166032,00000000,129,783,0,0.0,0,0
15:02:36:607,1,1690.049685,00000000,0,0,0,0.0,0,0
15:02:36:732,1,1695.095193,00000130,43,1232,0,254.46900494077323,9,-12
15:03:49:401,1,1765.842569,00000140,168,1068,0,490.08845396000777,13,-13
15:03:49:788,1,1765.842569,00000140,168,1068,0,490.08845396000777,13,-13
15:04:20:940,1,1800.121282,00000148,131,1109,0,527.7875658030853,14,-13
15:04:21:311,1,1800.121282,00000148,131,1109,0,527.7875658030853,14,-13
15:04:35:815,1,1821.293461,00000000,0,0,0,0.0,0,0
15:04:50:763,1,1841.977747,00000152,44,1234,0,141.3716694115407,9,-12
15:04:51:154,1,1841.977747,00000152,44,1234,0,141.3716694115407,9,-12
15:05:25:931,1,1876.043321,0000015f,145,1110,0,367.5663404700058,13,0
15:05:26:176,1,1877.819434,00000161,247,1075,0,565.4866776461627,15,-13
15:05:26:354,1,1876.043321,0000015f,145,1110,0,367.5663404700058,13,0
15:05:26:568,1,1877.819434,00000161,247,1075,0,565.4866776461627,15,-13
15:06:22:483,1,1920.385514,00000000,81,0,0,339.29200658769764,12,-14
15:06:22:549,1,1920.939314,00000177,272,245,0,235.61944901923448,15,0
15:06:29:593,1,1936.194663,0000017f,212,1122,0,169.64600329384882,9,-12
15:06:29:993,1,1936.194663,0000017f,212,1122,0,169.64600329384882,9,-12
15:06:36:387,1,1940.511193,00000000,0,281,0,939.3362034233481,23,1
15:06:45:722,1,1944.782348,00000183,239,1051,0,0.0,0,-13
15:06:46:124,1,1944.782348,00000183,239,1051,0,0.0,0,-13
