timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
15:23:00:311,0,2934.196949,0000032f,542,917,0,471.23889803846896,15,2
15:23:02:161,0,2937.197773,00000334,647,1162,0,571.7698629533423,14,5
15:23:48:479,0,2981.608016,00000342,414,698,0,226.1946710584651,9,-12
15:24:41:938,0,3029.209103,00000357,455,653,0,0.0,0,-12
15:24:52:564,0,3040.471951,0000035c,493,682,0,276.46015351590177,11,-10
15:25:03:002,0,3048.115962,00000361,404,681,0,0.0,9,-10
15:25:14:293,0,3060.516983,00000366,513,689,0,0.0,0,-10
15:25:23:972,0,3067.715148,0000036c,459,652,0,169.64600329384882,9,-11
15:25:24:028,0,3068.192596,0000036d,457,678,0,0.0,0,-10
15:27:08:682,0,3184.604034,000003a2,541,816,0,565.4866776461627,15,2
15:27:09:659,0,3185.453935,000003a8,493,580,0,659.7344572538565,15,2
15:27:26:075,0,3199.283469,000003b3,155,395,0,254.46900494077323,9,5
15:28:10:104,0,3243.586963,000003d3,481,941,0,175.92918860102841,8,1
15:28:18:201,0,3252.503851,000003da,642,416,0,226.1946710584651,9,-10
15:28:21:895,0,3257.562027,000003de,357,952,0,0.0,0,-15
15:28:23:433,0,3258.944591,000003e0,644,392,0,0.0,0,4
15:28:53:045,0,3277.994192,000003ee,628,797,0,153.93804002589985,7,3
15:28:53:096,0,3279.357612,000003ef,373,957,0,276.46015351590177,11,1
15:29:02:451,0,3284.112062,000003f3,492,677,0,612.6105674500096,15,1
15:29:27:732,0,3301.394042,00000402,370,657,0,615.7521601035994,14,3
15:29:32:756,0,3304.837851,00000406,490,871,0,527.7875658030853,14,2
15:29:32:830,0,3305.425577,00000407,407,660,0,659.7344572538565,15,4
15:30:19:111,0,3331.369794,0000041f,436,703,0,659.7344572538565,15,1
15:30:48:782,0,3349.227719,0000042e,501,482,0,753.9822368615503,16,5
15:30:55:288,0,3355.149322,00000434,385,555,0,0.0,14,1
15:30:55:365,0,3355.704304,00000435,205,852,0,0.0,0,0
15:30:55:439,0,3356.281540,00000436,224,986,0,612.6105674500096,15,0
15:31:10:131,0,3365.621979,0000043d,220,590,0,967.6105373056562,22,0
15:32:18:566,0,3387.516531,0000044d,232,546,0,615.7521601035994,14,1
